Bidwesh_Original,sylhety,Sylhaty_Romanize,Label,Annotator,Status,,,
হে আল্লাহ কে দুশি আর কে নিরদুস তা আপনি ভালো যানেন কোথাও যেন কুন নিরদুস কে ভুল করে সাস্তি কেউ না দেয় আপনি তাদের সহায় থাকবেন আমিন আর কুন দুসি যেন ছাড়া না পায়।,হে আল্লাহ কে  দূষী আর কে নিরদুস  ইতা আফনে  বালা  যানোইন  কুনোখানো যেন কুনো নিরদুস রে ভুল করি সাস্তি কেউ না দেয় আফনে তারার সহায় থাকইন আমিন আর কুনো দুসি যেন ছাড়া না ফায়।,he Allah k dushi r k nirdush  ita afne bala janoin  kunokano jano kuno nirdush re bhul koti shasti keuna de afne tarar shohay takoin amin ar kuno dushi jeni sara na fay.,0,Jaina,Done,,,
এটা অপরাদ অ গালি দেইনাই,ইকটা দুষ অ গাইল দিছিনা,ikta dush o gail disina,0,Jaina,Done,,,
নাটের গুরু পাপন,নাটর গুরু পাপন,nator guru papon,0,Jaina,Done,,,
আল্লাহ সকল হ্মমতার মালিক জাকে ভালু রাকবেন জাকে ভালু লাগবেনা তাকে রাকবেনা আল্লাহ সকলে কে বুজার তৌফিক দান করুন ,আল্লাহ সব হ্মমতার মালিক যারে বালা রাখবা যারে বালা লাগতোনা তারে রাখতানা আল্লাহ সব রে বুজার তৌফিক দান করোক্কা,Allah shob khomotar malik jare bala rakhba jare bala lagtona tare rakhtana Allah shob re bujar towfik dan korokka,0,Jaina,Done,,,
ধুয়ে দিলেন ভাই। ���,ধইয়া দিলাইলা ভাই। ���,doiya dilaila bhai .���,0,Jaina,Done,,,
পাপন পদত্যাগ করুন,পাপন পদত্যাগ করক্কা,papon podoteg korokka,0,Jaina,Done,,,
এখন কান্না কর কেন মনু রা সুন্দর নুসরাত আপি টা কে ক্ষুন করার সময় মনে হয় নাই তোমাদের একদিন এমন পরিনতি হতে পারে,এখন খান্দো কেনে মনু রা সুন্দর নুসরাত আপি টা রে ক্ষুন করার সময় মনো অইছে নানি তোমাতানোর একদিন অলান পরিনতি  অইতো ফারে,ekhon khando kene monu ra sundor nusrat api ta re khun korar shomoy mono oise nani tumatanor ekdin olan porinoti oito fare,0,Jaina,Done,,,
তাকে যদি নিষিদ্ধ করা হয় তাহলে বাংলাদেশের মানুষ কখনো বিচিবি কে ক্ষমা করা হবেনা। কে কে একমত?, তারে যদি নিষেদ করা অয় তে বাংলাদেশর মানুষ কোনসময় বিচিবি রে মাফ করা অইতোনা। কে কে একমত?, tare jodi nished kora oy te bangladeshor manush kunoshomoy BCB re maf kora oitona. k k ekmot?,0,Jaina,Done,,,
আমি মুলিমের পক্ষে,আমি মুলিমোর পক্ষে,ami mulimor pokke,0,Jaina,Done,,,
মুস্তাফিজুর রহমানের ভক্তরা কোথায় লাইক হবে��,মুস্তাফিজুর রহমানোর ভক্তহকল কই লাইক  অইবোনি��,mustafizur rohmanor bhoktohokol koi like oiboni��,0,Jaina,Done,,,
আমি যদি কিছু লিখি? আমায় কি ব্যান করা হবে?,আমি যদি কিচ্ছু  লেখি? আমারে কিতা ব্যান করা অইবোনি?,ami jodi kicchu lekhi? amare kita ban kora oibo ni?,0,Jaina,Done,,,
কালার একটু বেশি হয়ে গেছে।তাই জাবসা লাগে,কালার একটু বেশি  অই গেছে। অতারলাগি জাবসা লাগের,colour ektu beshi oigese.otarlagi jabsha lager ,0,Jaina,Done,,,
রনিকে আরও বেশি সুযোগ দেয়া উচিত,রনিরে আরও বেশি সুযোগ দেওয়া দরকার,ronire aro beshi shujug dewa dorkar,0,Jaina,Done,,,
"ভুল করছেন, অভিশাপ লাগবেই","ভুল কররা, অভিশাপ লাগবউ","bhul korra, obhishap lagbou",0,Jaina,Done,,,
ভাই আপনার কথা গুলা উপযুক্ত কথা বলছেন অস্তির কথা বলছেন,ভাই আফনার মাত গুন্তা উপযুক্ত মাত মাতিছইন অস্তির মাত মাতিছইন,bhai afnar mat gunta upojukto mat matisoin ostir mat matisoin,0,Jaina,Done,,,
আমার মতে সবচেয়ে সেরা মানুষ,আমার মতে সবতাকি সেরা মানুষ,amar mote shobtaki shera manush,0,Jaina,Done,,,
এই ভিডিও টা যে ছেড়েছেন তার উচিত হয় নি এভাবে ছাড়া,ই ভিডিও ইকটা যে ছাড়ছইন তার ঠিক অইছে না ইলা ছাড়া,e video ikta j sarsoin tar thik oise na ila sara,0,Jaina,Done,,,
শাকিব খান বস তুমি একটা জিনিস তুমি যে নায়িকার সাথে সিনেমা করো সেই নায়িকা সুপারহিট হয়ে যায়,শাকিব খান বস তুমি একটা জিনিস তুমি যে নায়িকার লগে সিনেমা করো ই নায়িকা সুপারহিট অই যায়,shakib khan boss tumi ekta jinish tumi j naikar loge cinema koro e naika superhit oijay,0,Jaina,Done,,,
অাপিন ঠিক বলেছেন,আফনে ঠিক কইছইন,afne thik koisoin,0,Jaina,Done,,,
একটু চাদ মুখ খানা দেখার সুযোগ করে দেওয়া হোক জে বিডিওটার পরিচালক অনেক সালাম তারে আমার পক্ষ থেকে,একটু চাদ মুখ খান দেখার সুযোগ করি দেওয়া অউক জে বিডিওইকটার পরিচালক অনেক সালাম তারে আমার পক্ষ তাকি,ektu chad muk khan dekhar shujug kori deoa ouk j video iktar porichalok onek salam tare amar pokko taki,0,Jaina,Done,,,
হেতার জম্ন হল কবে আবার ওয়াজ করে। হেতার কথা শুনলে মনে হয় বয়স,হেটার জম্ন অইল কোনদিন আবার ওয়াজ করে। হেটার মাত হুনলে মনো  অয় বয়স,tar jonmo oilo kundin abar waj kore.tar mat hunle mono oy boyosh,0,Jaina,Done,,,
কেসিনো পাপন,কেসিনো পাপন,casino papon,0,Jaina,Done,,,
আপনি কি বুঝাতে চেয়েছেন কার পক্ষে লিখেছেন তা প্রথম আর শেষের লাইন পড়েই বুঝে গেছি পুরোটা পড়ার দরকার হয়নি।আগামীতে যদি রাজনীতিতে আসেন তাহলে জাতি অবাক হবেনা।,আফনে কিতা বুঝাইতা  চাইছইন কার পক্ষে লেখছইন ইকান পয়লা আর শেষর লাইন পড়িয়াউ বুঝি লাইছি পুরাটা পড়ার দরকার অইছেনা। পরেদি যদি রাজনীতিত আইন তে জাতি অবাক অইতনা।,afne kita bujaita saisoin kar pokke lekhsoin ikan poyla r sheshor line poriau buji laisi purata porar dorkar oise na. poredi jodi rajnitit ain te jati obak oitona.,0,Jaina,Done,,,
দুই জনই সমান অপরাধী,দুই জনউ সমান অপরাধী,dui jonu shoman oporadhi,0,Jaina,Done,,,
উন্নয়ন উন্নয়ন উন্নয়ন।,উন্নয়ন উন্নয়ন উন্নয়ন।,unnoyon unnoyon unnoyon.,0,Jaina,Done,,,
আমি বলি এক সাত হলে অনেক ভাল হবে,আমি কইয়ার এক লগে অইলে বউত বালা অইবো,ami koiar ekloge oile bout bala oibo,0,Jaina,Done,,,
"দো-আচলামী কথা বাদ দিয়ে ১০/১৫ বছর আগে যেখানে ছিলেন, সেখানে ফিরে যান.. আপনি পিছনে ফিরে গেলে জাতি আগে বাড়তে পারবে । কারণ এই জাতির জন্য একজন নির্ভীক, দক্ষ শিক্ষক দরকার, কোন দো-আচলা শিক্ষক নয়.. ��","দো-আচলামী মাত বাদ দিয়া ১০/১৫ বছর আগে যেখানো আছলা, অখানো ফিরিয়া যাওক্কা.. আফনে ফিসে ফিরিয়া গেলে জাতি সামনেদি বাড়ত ফারবো । কারণ ই জাতির লাগি একজন নির্ভীক, দক্ষ শিক্ষক দরকার, কোন দো-আচলা শিক্ষক নায়.. ��","du noslami mat bad dia 10/15 bosor age jekano asla, okano firia jaokka..afne fise firia gele jati samnedi barto farbo. karon e jatir lagi ekjon nirbhik,dokko shikkok dorkar, kuno du nosla shikkok nay.. ��",0,Jaina,Done,,,
জবাবটা যেকারনেই দিক ভাল লাগছে,উত্তরটা যেকারনেউ দেওক বালা লাগছে,uttorta jekaroneu deok bala lagse,0,Jaina,Done,,,
